scope,rule_id,case_kind,case_id,accepted_bucket,candidate_bucket,official_issue_count,candidate_issue_count,missing_count,extra_count
Published,CORE-000007,negative,01,supported_match,deferred_oracle_gap_mismatch,4,4,2,2
Published,CORE-000007,negative,02,supported_match,deferred_oracle_gap_mismatch,2,2,2,2
Published,CORE-000013,negative,01,supported_match,supported_mismatch,1,13,0,12
Published,CORE-000013,negative,02,supported_match,supported_mismatch,1,13,0,12
Published,CORE-000015,negative,01,supported_match,deferred_oracle_gap_mismatch,20,45,0,25
Published,CORE-000023,negative,01,no_official_oracle,supported_mismatch,2,24,0,22
Published,CORE-000025,negative,01,supported_match,supported_mismatch,6,6,2,2
Published,CORE-000026,negative,01,no_official_oracle,supported_mismatch,2,4,0,2
Published,CORE-000030,negative,01,supported_match,supported_mismatch,2,20,0,18
Published,CORE-000030,negative,02,supported_match,supported_mismatch,2,34,0,32
Published,CORE-000037,negative,01,supported_match,supported_mismatch,2,2,2,2
Published,CORE-000038,negative,01,supported_match,supported_mismatch,6,6,6,6
Published,CORE-000039,positive,02,absent,deferred_oracle_gap_mismatch,0,6,0,6
Published,CORE-000042,negative,01,supported_match,supported_mismatch,1,1,1,1
Published,CORE-000043,negative,01,supported_match,supported_mismatch,1,1,1,1
Published,CORE-000044,negative,01,supported_match,supported_mismatch,1,1,1,1
Published,CORE-000049,negative,01,deferred_oracle_gap_skipped,deferred_oracle_gap_skipped,1,4,0,3
Published,CORE-000074,negative,01,no_official_oracle,supported_mismatch,1,4,0,3
Published,CORE-000075,negative,01,no_official_oracle,supported_mismatch,1,1616,0,1615
Published,CORE-000080,negative,01,deferred_oracle_gap_skipped,deferred_oracle_gap_skipped,4,6360,0,6356
Published,CORE-000081,negative,01,deferred_oracle_gap_skipped,deferred_oracle_gap_skipped,2,3232,0,3230
Published,CORE-000081,negative,02,no_official_oracle,deferred_oracle_gap_skipped,2,136,0,134
Published,CORE-000084,negative,01,supported_match,supported_mismatch,1,4,0,3
Published,CORE-000084,negative,02,supported_match,supported_mismatch,1,5,0,4
Published,CORE-000096,negative,01,supported_match,deferred_oracle_gap_mismatch,6,9,0,3
Published,CORE-000098,negative,01,supported_match,deferred_oracle_gap_mismatch,4,6,0,2
Published,CORE-000107,negative,01,no_official_oracle,supported_mismatch,9,40068,0,40059
Published,CORE-000107,negative,02,no_official_oracle,supported_mismatch,9,18,0,9
Published,CORE-000107,negative,03,no_official_oracle,supported_mismatch,9,27,1,19
Published,CORE-000107,negative,04,no_official_oracle,supported_mismatch,9,40068,0,40059
Published,CORE-000107,negative,05,no_official_oracle,supported_mismatch,45,135,1,91
Published,CORE-000124,negative,01,supported_match,supported_mismatch,1,1,1,1
Published,CORE-000141,negative,02,supported_match,supported_mismatch,20,24,0,4
Published,CORE-000142,negative,01,supported_match,deferred_oracle_gap_mismatch,20,12,8,0
Published,CORE-000147,negative,01,supported_match,supported_mismatch,6,6,2,2
Published,CORE-000148,negative,01,supported_match,supported_mismatch,6,6,2,2
Published,CORE-000165,negative,01,supported_match,deferred_oracle_gap_mismatch,2,4,0,2
Published,CORE-000166,negative,01,supported_match,deferred_oracle_gap_mismatch,2,3,0,1
Published,CORE-000171,negative,01,supported_match,supported_mismatch,2,8,0,6
Published,CORE-000171,negative,02,supported_match,supported_mismatch,2,10,0,8
Published,CORE-000177,negative,01,supported_match,supported_mismatch,4,4,3,3
Published,CORE-000177,negative,02,supported_match,supported_mismatch,5,5,4,4
Published,CORE-000183,negative,01,supported_match,supported_mismatch,2,2,2,2
Published,CORE-000185,negative,01,supported_match,supported_mismatch,2,2,2,2
Published,CORE-000186,negative,01,supported_match,supported_mismatch,4,4,3,3
Published,CORE-000187,negative,01,supported_match,supported_mismatch,3,3,3,3
Published,CORE-000195,negative,01,deferred_oracle_gap_skipped,deferred_oracle_gap_skipped,28,30,0,2
Published,CORE-000206,negative,02,supported_match,supported_mismatch,20,16,4,0
Published,CORE-000207,negative,01,no_official_oracle,supported_mismatch,1,18,0,17
Published,CORE-000208,negative,01,no_official_oracle,skipped_unsupported,2,0,,
Published,CORE-000208,positive,01,no_official_oracle,skipped_unsupported,0,0,,
Published,CORE-000209,negative,01,no_official_oracle,skipped_unsupported,2,0,,
Published,CORE-000209,positive,01,no_official_oracle,skipped_unsupported,0,0,,
Published,CORE-000210,negative,01,no_official_oracle,skipped_unsupported,2,0,,
Published,CORE-000210,positive,01,no_official_oracle,skipped_unsupported,0,0,,
Published,CORE-000223,negative,01,supported_match,supported_mismatch,8,8,2,2
Published,CORE-000224,negative,01,supported_match,deferred_oracle_gap_skipped,4,4,1,1
Published,CORE-000228,negative,01,supported_match,deferred_oracle_gap_mismatch,2,2,2,2
Published,CORE-000239,negative,01,supported_match,deferred_oracle_gap_mismatch,1,2,1,2
Published,CORE-000243,negative,01,no_official_oracle,supported_mismatch,1,4,0,3
Published,CORE-000244,negative,01,no_official_oracle,supported_mismatch,1,4,0,3
Published,CORE-000252,positive,01,no_official_oracle,deferred_oracle_gap_skipped,0,0,,
Published,CORE-000261,negative,01,supported_match,supported_mismatch,1,8,0,7
Published,CORE-000261,negative,02,supported_match,supported_mismatch,1,20,0,19
Published,CORE-000272,negative,03,supported_match,supported_mismatch,1,0,1,0
Published,CORE-000291,negative,01,no_official_oracle,supported_mismatch,1,1,1,1
Published,CORE-000296,negative,01,no_official_oracle,skipped_unsupported,1,0,,
Published,CORE-000296,positive,01,no_official_oracle,skipped_unsupported,0,0,,
Published,CORE-000302,negative,01,no_official_oracle,no_official_oracle,,,,
Published,CORE-000356,negative,01,deferred_oracle_gap_skipped,deferred_oracle_gap_skipped,4,0,,
Published,CORE-000356,positive,01,deferred_oracle_gap_skipped,deferred_oracle_gap_skipped,0,0,,
Published,CORE-000361,negative,01,supported_match,deferred_oracle_gap_mismatch,16,0,16,0
Published,CORE-000363,negative,01,no_official_oracle,skipped_unsupported,4,0,,
Published,CORE-000363,positive,01,no_official_oracle,skipped_unsupported,0,0,,
Published,CORE-000376,negative,02,no_official_oracle,supported_mismatch,6,20,0,14
Published,CORE-000454,negative,02,deferred_oracle_gap_skipped,deferred_oracle_gap_skipped,0,3,0,3
Published,CORE-000457,negative,01,no_official_oracle,supported_mismatch,1,10,0,9
Published,CORE-000457,positive,01,no_official_oracle,supported_mismatch,1,0,1,0
Published,CORE-000478,negative,01,deferred_oracle_gap_skipped,deferred_oracle_gap_skipped,3,0,,
Published,CORE-000478,positive,01,deferred_oracle_gap_skipped,deferred_oracle_gap_skipped,0,0,,
Published,CORE-000484,negative,01,supported_match,supported_mismatch,10,20,0,10
Published,CORE-000495,negative,01,supported_match,deferred_oracle_gap_mismatch,8,6,2,0
Published,CORE-000527,negative,01,supported_match,supported_mismatch,2,1,1,0
Published,CORE-000535,negative,01,supported_match,supported_mismatch,6,8,0,2
